id,name,tedad_kh_100,tedad_fo_100,tedad_kh_200,tedad_fo_200,tedad_kh_500,tedad_fo_500,akharin_gh,darsad_akarin,darsad_payani,vaziat,signal_tedad,signal_big_m,rsi,buy_power,vorod_pol,hajm_mashkok,hajm_emroz,hajm_diroz,hajm_2roz_ghabl,hajm_3roz_ghabl,miangin_mah,code_gr,pool_gr,group_name,vaziat2,gh_s,darsad_ta_s,taharok,kharid_hoshdar,forosh_hoshdar,tedad_kharidar,seraneh_kharid,kol_kharid,tedad_foroshamdeh,seraneh_forosh,kol_forosh,barayand_saraneh,barayand_kol,emtiaz_sahm,date_now,time,total_kh_big,total_fo_big,total_kh_big1,total_fo_big1,net_big_trades,buy_sell_ratio_100,buy_sell_ratio_200,buy_sell_ratio_500,kh_concentration,fo_concentration,volume_signal,money_flow_signal,rsi_signal,total_signal_score,signal_category
28431095903407567,كاسپين,25,32,8,6,0,1,34820,2.99,2.43,صف خرید,0,0,68,0.84,4615, حجم کم,43 %,123 % ,84 % ,137 % ,17035960,43,-98707,مواد و محصولات دارويي,فروش  ضعیف,0,0,تحرک_مثبت,0,4,39,187,7305,39,176,6890,11,415,4.5,1405-06-04,12:22:45,25,32,8,6,-7,0.7575757575757576,1.1428571428571428,0.0,1.2692307692307692,1.303030303030303,0,3,-1,0.7,ﺪﯾﺮﺧ ﻒﯿﻌﺿ ﻝﺎﻨﮕﯿﺳ
25631699615003698,كهرام,0,0,0,0,0,0,29150,1.99,0.8,صف خرید,0,0,83,13.5,0, حجم کم,34 %,29 % ,49 % ,101 % ,135285,49,25165,كاشي و سراميك,فروش  قوی rsi,0,0,تحرک_مثبت,0,0,0,0,0,0,0,0,0,0,0.0,1405-06-04,8:48:26,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,-3,-0.5000000000000001,ﺵﻭﺮﻓ ﻝﺎﻨﮕﯿﺳ
35543935713999309,تاتمس,1,1,0,1,0,0,13880,-2.66,-1.96,منفی,0,0,62,0.59,-50,حجم متوسط1.27برابر,127 %,19 % ,26 % ,55 % ,308579,29,64793,ماشين آلات و تجهيزات,خنثی,0,0,تحرک_منفی,0,0,2,126,253,1,239,239,-113,14,0.0,1405-06-04,12:28:39,1,1,0,1,0,0.5,0.0,0.0,0.5,1.0,0,0,-1,-0.2,ﺵﻭﺮﻓ ﻝﺎﻨﮕﯿﺳ
44850033148208596,غچين,4,9,1,1,0,0,4480,2.99,2.3,صف خرید,0,0,82,0.79,-1002, حجم کم,52 %,89 % ,65 % ,148 % ,19619933,42,110444,محصولات غذايي و آشاميدني به جز قند و شكر,فروش  ضعیف,0,0,تحرک_مثبت,0,3,4,172,691,9,136,1224,36,-533,-2.5,1405-06-04,12:28:37,4,9,1,1,-5,0.4,0.5,0.0,1.0,1.0,0,0,-3,-0.6000000000000001,ﺵﻭﺮﻓ ﻝﺎﻨﮕﯿﺳ
60369091709615715,مهرمام,15,14,8,9,4,4,3240,2.86,0.95,صف خرید,0,0,52,6.76,-6380,حجم زیاد4.84برابر,484 %,80 % ,177 % ,92 % ,15084818,84,110444,سلامت انسان و مددكاري اجتماعي,خرید  ضعیف,0,0,تحرک_مثبت,1,1,32,315,10108,32,410,13129,-95,-3021,5.5,1405-06-04,12:17:52,15,14,8,9,1,1.0,0.8,0.8,2.6875,2.8666666666666667,1,0,0,0.5,ﺪﯾﺮﺧ ﻒﯿﻌﺿ ﻝﺎﻨﮕﯿﺳ
64619251116188373,بپيوند,6,1,2,0,0,0,19130,-1.19,0.26,منفی,0,0,73,9.27,59,حجم متوسط1.38برابر,138 %,114 % ,176 % ,355 % ,1967657,40,-10608,عرضه برق، گاز، بخاروآب گرم,فروش  متوسط rsi,0,0,تحرک_منفی,0,0,8,167,1342,2,116,233,51,1109,-3.0,1405-06-04,12:30:33,6,1,2,0,5,3.0,2.0,0.0,1.1428571428571428,0.5,2,1,-3,0.6,ﺪﯾﺮﺧ ﻒﯿﻌﺿ ﻝﺎﻨﮕﯿﺳ
38568786927478796,شيراز,26,34,15,16,6,8,63640,2.99,2.99,صف خرید,0,3,51,1.83,17159,حجم متوسط1.36برابر,136 %,69 % ,116 % ,89 % ,6964410,44,416438,محصولات شيميايي,فروش  ضعیف,0,0,تحرک_مثبت,1,2,152,223,34033,53,333,17670,-110,16363,8.5,1405-06-04,12:28:08,26,34,15,16,-8,0.7428571428571429,0.8823529411764706,0.6666666666666666,2.6296296296296298,2.5714285714285716,0,3,0,0.9999999999999999,ﺪﯾﺮﺧ ﻒﯿﻌﺿ ﻝﺎﻨﮕﯿﺳ
1050751214677134,شگامرن,0,1,0,0,0,0,25340,2.22,1.45,مثبت,0,0,86,0.21,-185, حجم کم,66 %,36 % ,317 % ,55 % ,167737,44,416438,محصولات شيميايي,فروش  ضعیف,0,0,تحرک_مثبت,0,0,0,0,0,1,101,101,-101,-101,-6.0,1405-06-04,12:29:43,0,1,0,0,-1,0.0,0.0,0.0,0.0,0.5,0,0,-3,-0.6000000000000001,ﺵﻭﺮﻓ ﻝﺎﻨﮕﯿﺳ
52587750999094180,نيشكر,5,0,2,0,0,0,60690,1.66,1.54,مثبت,0,0,60,16.05,1134,حجم متوسط1.25برابر,125 %,33 % ,171 % ,100 % ,815872,38,15187,قند و شكر,خرید  متوسط,0,0,تحرک_مثبت,2,0,5,233,1166,0,0,0,233,1166,7.0,1405-06-04,12:27:46,5,0,2,0,5,5.0,2.0,0.0,1.1666666666666667,0.0,2,3,-1,1.6,ﺪﯾﺮﺧ ﻝﺎﻨﮕﯿﺳ
71523986304961239,قشير,4,10,3,2,0,0,15190,2.98,2.98,صف خرید,0,0,72,2.0,1222, حجم کم,49 %,39 % ,161 % ,183 % ,7182641,38,15187,قند و شكر,فروش  ضعیف,0,0,تحرک_مثبت,1,3,9,275,2476,14,176,2476,99,0,2.5,1405-06-04,12:30:32,4,10,3,2,-6,0.36363636363636365,1.0,0.0,1.4,1.0909090909090908,0,3,-3,0.3999999999999998,ﯽﺜﻨﺧ
